   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
AC008592.5	17	15	22	14	17	9	17	11	6	1	2	1	0	0	0	0
AC008592.8	9	17	55	46	26	8	20	13	4	5	0	0	0	0	0	0
AC008697.1	8	30	5	10	18	9	24	20	0	9	0	0	0	0	0	1
AC008746.5	1	0	0	0	0	0	0	0	0	4	11	7	1	2	5	19
AC008753.3	430	591	303	371	126	167	198	152	161	103	108	84	53	38	59	55
AC008753.4	0	1	0	0	0	2	1	2	47	19	161	123	224	214	179	151
AC008781.7	0	1	0	0	0	0	1	1	17	4	6	1	8	11	10	2
AC008834.1	14	9	7	1	4	7	10	8	1	3	0	0	0	0	0	1
AC008940.1	12137	13632	6270	7427	6239	4192	13386	10957	3795	3174	29	35	17	3	16	112
AC009061.1	1	0	0	0	0	0	4	2	5	6	9	4	7	15	5	3
AC009110.1	9	20	16	0	9	8	12	10	8	0	0	0	0	0	0	0
AC009133.17	0	0	0	1	0	0	2	0	20	2	1	0	0	2	0	2
AC009236.2	8	28	20	28	6	6	12	5	2	3	0	1	0	0	0	0
AC009237.8	1	5	13	19	6	1	6	5	7	2	0	1	0	1	0	0
AC009245.3	205	117	95	133	125	93	183	153	408	255	809	913	439	542	821	879
AC009299.3	0	0	0	0	0	0	2	0	14	4	16	7	5	8	25	22
AC009299.4	1	5	5	3	3	1	54	38	568	501	311	373	318	244	321	358
AC009302.2	20	31	4	8	15	14	20	9	79	73	63	64	41	30	54	62
AC009303.1	5	2	0	14	2	4	6	3	6	1	4	3	12	7	10	9
AC009404.2	9	15	17	12	11	11	10	4	113	70	52	47	57	57	45	78
AC009500.2	117	88	127	101	138	85	169	118	119	74	3	1	0	2	1	2
AC009502.4	86	118	24	35	60	41	143	123	56	50	7	3	4	2	1	2
AC009506.1	73	49	61	60	66	38	46	47	25	10	1	2	3	3	7	5
AC009518.4	158	226	96	98	102	56	105	116	47	42	1	0	0	0	0	1
AC009518.8	0	1	0	0	0	1	0	3	0	0	8	3	15	11	7	6
AC009542.2	1	2	0	6	0	0	0	1	11	0	4	0	0	0	0	0
AC009784.3	30	32	32	49	26	21	42	34	25	13	1	1	0	0	0	2
AC009878.2	57	56	53	47	43	33	47	28	16	20	1	0	0	0	0	0
AC009948.5	183	219	284	267	201	135	230	219	106	78	49	45	51	87	70	68
AC009948.7	28	24	14	4	12	1	11	6	25	13	26	36	12	28	27	48
AC009950.2	22	16	11	12	13	16	13	7	16	6	1	0	3	0	0	0
AC009960.1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
AC009961.3	8	8	8	12	2	10	11	6	4	5	1	0	0	0	0	0
AC009965.2	77	88	45	54	102	41	59	54	15	7	0	2	0	0	0	1
AC010091.1	11	10	13	17	11	10	15	11	9	2	0	0	0	0	0	0
AC010127.3	29	34	26	13	25	15	20	22	20	10	2	0	0	0	0	1
AC010136.2	22	18	0	2	5	4	8	3	0	0	0	0	0	0	0	0
AC010146.1	13	6	1	10	8	11	15	11	9	6	0	0	0	0	0	0
AC010146.2	3	5	8	16	2	3	13	3	6	6	0	1	0	0	0	0
